word,spam_count,ham_count,total,spam_ratio
nbsp,773,0,773,1.0
symposium,4,57,61,0.066
obligations,58,386,444,0.131
fine,176,350,526,0.335
pulling,7,92,99,0.071
catalog,113,22,135,0.837
reporting,161,926,1087,0.148
putting,85,264,349,0.244
password,169,509,678,0.249
maturity,66,81,147,0.449
votes,8,73,81,0.099
sanders,46,118,164,0.28
tickets,58,505,563,0.103
designated,227,86,313,0.725
layoffs,5,56,61,0.082
bold,52,62,114,0.456
grab,73,24,97,0.753
action,900,1024,1924,0.468
curves,2,445,447,0.004
filter,117,24,141,0.83
drop,167,469,636,0.263
reed,16,53,69,0.232
accused,26,56,82,0.317
cyber,76,6,82,0.927
hours,1323,735,2058,0.643
kaminski,0,4809,4809,0.0
forgotten,34,31,65,0.523
stating,19,59,78,0.244
des,421,23,444,0.948
monday,346,3043,3389,0.102
stakes,98,53,151,0.649
compensate,41,26,67,0.612
jedi,1,121,122,0.008
continuous,74,27,101,0.733
deloitte,2,72,74,0.027
tirr,55,0,55,1.0
divide,34,42,76,0.447
compieted,169,0,169,1.0
calger,0,512,512,0.0
scientific,167,23,190,0.879
remove,1498,191,1689,0.887
different,480,914,1394,0.344
economy,145,527,672,0.216
responsive,29,31,60,0.483
intellinet,177,0,177,1.0
marked,34,122,156,0.218
patterns,14,47,61,0.23
stamina,78,1,79,0.987
power,920,7747,8667,0.106
weigh,7,43,50,0.14
nwwv,54,0,54,1.0
unbeatable,54,0,54,1.0
meantime,12,157,169,0.071
delete,176,309,485,0.363
matches,28,142,170,0.165
impotence,212,0,212,1.0
asp,122,151,273,0.447
harsh,35,23,58,0.603
parquet,2,80,82,0.024
edge,204,99,303,0.673
michelle,22,694,716,0.031
consignment,99,1,100,0.99
besides,55,62,117,0.47
stocks,2019,625,2644,0.764
characteristics,13,51,64,0.203
transport,75,681,756,0.099
removal,359,49,408,0.88
riqht,106,0,106,1.0
ibrahim,54,5,59,0.915
assess,22,111,133,0.165
herbal,110,0,110,1.0
oil,1787,1396,3183,0.561
garven,0,67,67,0.0
scale,88,150,238,0.37
midday,7,46,53,0.132
names,864,513,1377,0.627
reduced,113,428,541,0.209
contents,358,202,560,0.639
dave,27,947,974,0.028
dealer,470,37,507,0.927
comparable,19,48,67,0.284
kabila,73,0,73,1.0
curious,45,34,79,0.57
chilkina,0,64,64,0.0
employee,56,1088,1144,0.049
letting,19,67,86,0.221
maintaining,58,79,137,0.423
ocean,68,50,118,0.576
firms,81,503,584,0.139
ose,127,9,136,0.934
bradley,15,73,88,0.17
reviewer,5,66,71,0.07
index,453,667,1120,0.404
outright,8,42,50,0.16
copying,62,139,201,0.308
efficiency,59,113,172,0.343
aviation,32,18,50,0.64
transition,32,326,358,0.089
brazilian,15,72,87,0.172
materia,536,0,536,1.0
bryan,22,329,351,0.063
girl,317,34,351,0.903
law,419,563,982,0.427
kernel,233,6,239,0.975
angie,23,35,58,0.397
anger,60,24,84,0.714
mexican,18,58,76,0.237
larry,40,270,310,0.129
centers,123,84,207,0.594
port,119,235,354,0.336
sie,259,81,340,0.762
interest,1893,1778,3671,0.516
buyers,116,242,358,0.324
somewhere,48,91,139,0.345
assistant,82,436,518,0.158
misieading,86,0,86,1.0
numerous,224,153,377,0.594
eligibility,21,30,51,0.412
accessories,191,4,195,0.979
kills,47,7,54,0.87
fashion,64,51,115,0.557
jerry,18,111,129,0.14
writer,21,103,124,0.169
minds,30,33,63,0.476
needsand,53,0,53,1.0
retirement,42,244,286,0.147
sons,20,42,62,0.323
enters,95,23,118,0.805
indicative,274,48,322,0.851
bennett,33,154,187,0.176
snow,40,27,67,0.597
hottest,185,9,194,0.954
local,448,376,824,0.544
question,223,861,1084,0.206
delays,253,72,325,0.778
reconciliation,4,72,76,0.053
spin,36,38,74,0.486
developments,101,192,293,0.345
leases,80,48,128,0.625
encourage,86,211,297,0.29
ellen,15,72,87,0.172
tariffs,9,54,63,0.143
male,410,24,434,0.945
sony,247,39,286,0.864
verizon,58,10,68,0.853
blanco,3,54,57,0.053
gibner,0,633,633,0.0
posting,22,305,327,0.067
companion,52,3,55,0.945
universal,52,49,101,0.515
thinks,77,118,195,0.395
simultaneously,25,51,76,0.329
dynegy,0,4856,4856,0.0
accessible,47,38,85,0.553
dec,172,618,790,0.218
marketed,38,14,52,0.731
com,11609,12575,24184,0.48
terminate,26,121,147,0.177
oxley,12,354,366,0.033
forthcoming,52,81,133,0.391
koehler,1,100,101,0.01
responsible,119,679,798,0.149
applicable,44,134,178,0.247
handheld,25,132,157,0.159
geoff,2,81,83,0.024
viewing,32,50,82,0.39
equivalent,53,108,161,0.329
advising,13,56,69,0.188
debts,60,152,212,0.283
award,652,133,785,0.831
television,206,62,268,0.769
reaches,47,28,75,0.627
bureau,41,46,87,0.471
fiducial,63,0,63,1.0
afford,145,41,186,0.78
station,44,263,307,0.143
profound,46,8,54,0.852
interpretation,175,38,213,0.822
surprisingly,37,30,67,0.552
proposals,34,98,132,0.258
burner,43,10,53,0.811
theoretical,1,51,52,0.019
popt,64,0,64,1.0
prnewswire,123,48,171,0.719
controllers,1,50,51,0.02
dance,55,13,68,0.809
instant,532,50,582,0.914
died,409,28,437,0.936
alan,20,180,200,0.1
staggering,72,14,86,0.837
overseas,171,78,249,0.687
improvement,270,168,438,0.616
drugs,787,10,797,0.987
coast,99,193,292,0.339
relatively,34,175,209,0.163
really,828,1009,1837,0.451
reliability,34,136,170,0.2
piays,60,0,60,1.0
unable,104,402,506,0.206
viking,90,3,93,0.968
rush,41,34,75,0.547
providing,374,482,856,0.437
selling,435,574,1009,0.431
exampies,198,0,198,1.0
ium,56,0,56,1.0
fall,140,794,934,0.15
discrepancies,0,66,66,0.0
seem,126,230,356,0.354
system,2144,2527,4671,0.459
pursuing,27,80,107,0.252
directions,34,120,154,0.221
weeks,743,1372,2115,0.351
iain,6,55,61,0.098
medicine,230,23,253,0.909
oaxaca,52,0,52,1.0
ancillary,21,644,665,0.032
committee,120,1294,1414,0.085
sho,96,0,96,1.0
carly,5,49,54,0.093
keywords,43,7,50,0.86
tds,0,116,116,0.0
turkey,26,59,85,0.306
board,398,1450,1848,0.215
shorter,9,43,52,0.173
clicking,129,74,203,0.635
teaching,28,53,81,0.346
takes,570,326,896,0.636
portfolios,23,133,156,0.147
democratic,67,55,122,0.549
incomplete,26,91,117,0.222
default,34,428,462,0.074
colleen,0,92,92,0.0
distributed,108,161,269,0.401
maximize,46,54,100,0.46
member,531,519,1050,0.506
extension,27,240,267,0.101
gather,18,62,80,0.225
serious,285,187,472,0.604
wrap,32,57,89,0.36
appeared,75,112,187,0.401
strategic,233,350,583,0.4
ships,49,28,77,0.636
quest,143,19,162,0.883
belong,43,26,69,0.623
outage,2,243,245,0.008
using,1058,1158,2216,0.477
pending,172,290,462,0.372
conditional,19,42,61,0.311
lng,21,467,488,0.043
shell,78,274,352,0.222
founded,96,20,116,0.828
foreseeable,46,17,63,0.73
emails,554,103,657,0.843
edition,751,174,925,0.812
utah,38,36,74,0.514
dubai,46,14,60,0.767
review,1001,2529,3530,0.284
literally,54,13,67,0.806
bbb,49,284,333,0.147
disqualification,107,0,107,1.0
regardless,85,137,222,0.383
clarify,22,131,153,0.144
request,766,2528,3294,0.233
scribner,0,87,87,0.0
getting,742,903,1645,0.451
rapidly,121,70,191,0.634
famous,84,19,103,0.816
see,2626,3949,6575,0.399
become,864,607,1471,0.587
vest,66,26,92,0.717
como,206,4,210,0.981
austin,26,358,384,0.068
saf,322,0,322,1.0
tablet,73,1,74,0.986
farmers,123,6,129,0.953
upward,64,28,92,0.696
pefs,0,198,198,0.0
soul,125,7,132,0.947
campbell,18,66,84,0.214
jumped,35,68,103,0.34
links,220,161,381,0.577
upset,29,57,86,0.337
rice,24,981,1005,0.024
enabling,52,16,68,0.765
ggts,56,0,56,1.0
amsterdam,139,41,180,0.772
affiiiate,91,0,91,1.0
diploma,117,2,119,0.983
rent,23,55,78,0.295
lot,555,866,1421,0.391
sof,79,0,79,1.0
experience,754,725,1479,0.51
instructions,485,183,668,0.726
weak,25,129,154,0.162
making,618,875,1493,0.414
mcgregor,2,67,69,0.029
copper,73,79,152,0.48
schoolcraft,0,68,68,0.0
plunged,10,241,251,0.04
judgments,92,20,112,0.821
dispatched,42,8,50,0.84
entertainment,597,87,684,0.873
stan,8,117,125,0.064
compaq,227,122,349,0.65
companies,2710,2974,5684,0.477
deeper,33,34,67,0.493
pan,11,49,60,0.183
giobal,62,0,62,1.0
parents,123,47,170,0.724
difference,162,307,469,0.345
marcelo,1,51,52,0.019
heidi,0,140,140,0.0
inbox,55,23,78,0.705
cass,0,71,71,0.0
challenged,36,54,90,0.4
spectrum,28,26,54,0.519
calculate,35,125,160,0.219
mops,1,71,72,0.014
ption,54,0,54,1.0
refunds,2,107,109,0.018
argument,23,50,73,0.315
alisave,60,0,60,1.0
protect,356,184,540,0.659
transparency,19,136,155,0.123
pics,117,11,128,0.914
tail,37,24,61,0.607
oren,0,156,156,0.0
almost,292,509,801,0.365
wili,184,0,184,1.0
losses,65,801,866,0.075
billing,84,206,290,0.29
wasting,58,5,63,0.921
residential,122,81,203,0.601
restart,3,82,85,0.035
complete,983,959,1942,0.506
gros,1,70,71,0.014
disposition,16,85,101,0.158
initially,39,169,208,0.188
gif,165,18,183,0.902
harris,28,336,364,0.077
weil,147,146,293,0.502
storey,2,88,90,0.022
reducing,37,144,181,0.204
produces,87,45,132,0.659
inciudes,117,0,117,1.0
securing,53,45,98,0.541
webmaster,64,133,197,0.325
rolete,108,0,108,1.0
doliars,133,0,133,1.0
visiting,92,130,222,0.414
cost,1161,1775,2936,0.395
inciuding,294,0,294,1.0
analyst,62,1651,1713,0.036
attacks,95,265,360,0.264
compieteness,84,0,84,1.0
children,433,106,539,0.803
odd,43,22,65,0.662
burst,125,19,144,0.868
hand,502,328,830,0.605
drama,58,9,67,0.866
inability,17,64,81,0.21
ran,69,202,271,0.255
complaint,12,87,99,0.121
college,176,157,333,0.529
neuweiler,0,72,72,0.0
esther,5,61,66,0.076
stops,46,24,70,0.657
mit,149,106,255,0.584
supatgiat,0,79,79,0.0
wor,407,0,407,1.0
bcf,39,265,304,0.128
servants,71,1,72,0.986
cheney,16,42,58,0.276
diligence,342,212,554,0.617
cream,39,12,51,0.765
decade,93,144,237,0.392
practices,44,249,293,0.15
geec,403,0,403,1.0
homes,257,68,325,0.791
pfont,55,0,55,1.0
kimberly,7,367,374,0.019
viewsonic,181,0,181,1.0
toner,162,9,171,0.947
secrecy,60,9,69,0.87
majordomo,204,41,245,0.833
milestones,37,15,52,0.712
sustained,64,66,130,0.492
enerfin,0,76,76,0.0
perry,18,129,147,0.122
manage,253,490,743,0.341
estimate,126,422,548,0.23
declines,6,88,94,0.064
ipp,2,61,63,0.032
anderson,69,205,274,0.252
rotation,0,70,70,0.0
bases,33,37,70,0.471
husband,424,58,482,0.88
olson,11,180,191,0.058
control,759,891,1650,0.46
bone,65,12,77,0.844
horn,21,39,60,0.35
customized,104,24,128,0.812
save,2704,299,3003,0.9
regularly,36,71,107,0.336
midcon,0,156,156,0.0
plans,779,1033,1812,0.43
seats,9,72,81,0.111
gun,32,18,50,0.64
ana,33,19,52,0.635
priced,150,212,362,0.414
distribute,336,185,521,0.645
dutch,36,140,176,0.205
oversee,11,45,56,0.196
prepare,141,225,366,0.385
hou,318,16946,17264,0.018
ilan,90,8,98,0.918
entouch,0,50,50,0.0
approver,0,115,115,0.0
screen,118,205,323,0.365
teacher,38,12,50,0.76
floors,6,108,114,0.053
company,11179,11780,22959,0.487
funding,152,173,325,0.468
relationships,78,187,265,0.294
connections,35,54,89,0.393
chosen,57,71,128,0.445
lynch,14,185,199,0.07
quote,414,122,536,0.772
bryce,14,98,112,0.125
regions,76,161,237,0.321
mere,40,11,51,0.784
alleges,2,77,79,0.025
josey,0,116,116,0.0
twa,137,11,148,0.926
expire,36,88,124,0.29
closing,130,426,556,0.234
ses,105,1,106,0.991
prominent,20,46,66,0.303
liquids,23,140,163,0.141
piils,104,0,104,1.0
percentage,130,184,314,0.414
surethat,69,0,69,1.0
blend,46,11,57,0.807
commence,107,54,161,0.665
deliver,312,369,681,0.458
worked,199,490,689,0.289
pil,78,0,78,1.0
cheating,64,4,68,0.941
preceding,82,13,95,0.863
ganjoo,0,68,68,0.0
gasoline,13,49,62,0.21
identified,650,269,919,0.707
processed,358,62,420,0.852
complex,92,369,461,0.2
damage,74,110,184,0.402
unwinding,0,60,60,0.0
produce,221,175,396,0.558
shoes,27,26,53,0.509
segment,49,90,139,0.353
assets,522,2198,2720,0.192
tion,143,1,144,0.993
temple,167,0,167,1.0
richter,3,207,210,0.014
ngpl,1,66,67,0.015
nasd,63,5,68,0.926
spent,227,261,488,0.465
row,44,79,123,0.358
maturing,26,49,75,0.347
reform,323,90,413,0.782
virgin,51,9,60,0.85
brazos,0,69,69,0.0
anymore,154,48,202,0.762
detected,15,664,679,0.022
brennan,11,115,126,0.087
learn,771,245,1016,0.759
sash,69,0,69,1.0
clara,12,67,79,0.152
htmlimg,106,0,106,1.0
carried,80,60,140,0.571
felt,85,169,254,0.335
alert,537,190,727,0.739
hired,18,141,159,0.113
unprecedented,48,27,75,0.64
specials,277,19,296,0.936
convince,27,54,81,0.333
error,650,1158,1808,0.36
eta,9,91,100,0.09
url,186,399,585,0.318
calculated,11,124,135,0.081
california,298,3438,3736,0.08
lillian,16,34,50,0.32
reservoirs,57,12,69,0.826
counterparties,0,518,518,0.0
vancouver,78,17,95,0.821
msnbc,48,3,51,0.941
neil,11,268,279,0.039
inside,205,170,375,0.547
goodbye,91,7,98,0.929
discovery,220,30,250,0.88
doctors,223,7,230,0.97
gossett,0,120,120,0.0
age,501,90,591,0.848
folders,36,34,70,0.514
play,524,262,786,0.667
morning,398,1561,1959,0.203
union,136,270,406,0.335
trying,172,784,956,0.18
postfix,58,1,59,0.983
signed,229,479,708,0.323
amend,22,43,65,0.338
clarification,21,147,168,0.125
heavy,197,190,387,0.509
